,speaker,twitter_handle,followers
665,anthony johnson,Anthony_Rumble,194345
666,max nofziger,maxnofziger,29
667,holly benson,BADnewsbenson1,348
668,jody conradt,hof98,108
669,tim griffin,TimGriffinBig12,2804
670,roger goodell,nflcommish,534939
671,ralph peters,ralph_peters,151
672,john elkhay,EllhayJohn,22
673,nina turner,ninaturner,183545
674,john taylor,JohnLloydTaylor,274058
675,michael reagan,ReaganWorld,76054
676,jeff wentworth,JeffInTokyo,187
677,chris smith,SmithChris,2588
678,american action network,AAN,8398
679,marc morial,MARCMORIAL,36136
680,bruce hanna,bdhogfan,284
681,ron gerberry,RonGerberry,771
682,pierre thomas,Pierre_Thomas,266891
683,don gaetz,DonGaetz,145
684,american future fund,AmFutureFund,31512
685,gerard robinson,gerard_924,2084
686,sam stein,samstein,408459
687,barry smitherman,SmithermanTX,3876
688,tom toles,TomTolesToons,7122
689,raymond frank,RaymondFArevalo,124
690,bob duffy,BobDuffyROC,11595
691,american energy alliance,AEA,6519
692,jerry brown,JerryBrownGov,1107251
693,billboard,billboard,7378161
694,paul begala,PaulBegala,204432
695,albio sires,RepSires,20905
696,hans von spakovsky,HvonSpakovsky,5872
697,joe heck,CoachJoeHeck,407
698,charlotte bergmann,memphismayor,75
699,ron klein,OtherRonKlein,176
700,sam houston,BearkatsBSB,12827
701,bill spelman,SpelmanBill,0
702,gordon challstrom,gordchallstrom,8
703,sabino pio renteria,CM_Renteria,3324
704,chris taylor,ChrisTaylorWI,6437
705,nicholas kristof,NickKristof,2045477
706,jennifer shilling,SenShilling,3748
707,farouk shami,Farouk4Texas,177
708,marc thiessen,marcthiessen,37871
709,jake tapper,jaketapper,2044946
710,dick morris,DickMorrisTweet,202179
711,leslie curran,ExpressFraming,66
712,jon huntsman,JonHuntsman,103247
713,betsy mccaughey,Betsy_McCaughey,8213
714,dan boren,dgbjr,19
715,joyce beatty,RepBeatty,31417
716,cleta winslow,cmwinslow04,186
717,bonnie reiss,bonniemreiss,212
718,gil kerlikowske,rgkerlik,31
719,sarah ponder,surahhpondaa,419
720,senate leadership fund,Senate_Fund,1758
721,jeanine pirro,JudgeJeanine,1502367
722,jd hayworth,JDHayworthAZ,754
723,peggy noonan,Peggynoonannyc,182399
724,mary landrieu,MaryLandrieu,5147
725,david miliband,DMiliband,266107
726,mike dovilla,mikedovilla,7600
727,hilary rosen,hilaryr,106006
728,edward flynn,EdwardFlynn12,124
